customer_id,name,email,phone,city,state,gstin,segment,signup_date,source,normalized
CUS-0081,Customer 0081,customer0081@example.com,+9198930282074,,,,,,,
CUS-0001,Customer 0001,customer0001@example.com,+9198451233662,,,,,,,
CUS-0093,Customer 0093,customer0093@example.com,+9198404077884,,,,,,,
CUS-0032,Customer 0032,customer0032@example.com,+9198980243961,,,,,,,
CUS-0142,Customer 0142,customer0142@example.com,+9198824506875,,,,,,,
CUS-0214,Customer 0214,customer0214@example.com,+9198884231079,,,,,,,
CUS-0124,Customer 0124,customer0124@example.com,+9198555902658,,,,,,,
CUS-0198,Customer 0198,customer0198@example.com,+9198740958232,,,,,,,
CUS-0211,Customer 0211,customer0211@example.com,+9198522893604,,,,,,,
CUS-0179,Customer 0179,customer0179@example.com,+9198673501806,,,,,,,
CUS-0203,Customer 0203,customer0203@example.com,+9198176940902,,,,,,,
CUS-0129,Customer 0129,customer0129@example.com,+9198472445806,,,,,,,
CUS-0026,Customer 0026,customer0026@example.com,+9198624318145,,,,,,,
CUS-0168,Customer 0168,customer0168@example.com,+9198819274604,,,,,,,
CUS-0021,Customer 0021,customer0021@example.com,+9198895029707,,,,,,,
CUS-0176,Customer 0176,customer0176@example.com,+9198729673300,,,,,,,
CUS-0224,Customer 0224,customer0224@example.com,+9198128879653,,,,,,,
CUS-0136,Customer 0136,customer0136@example.com,+9198338042160,,,,,,,
CUS-0066,Customer 0066,customer0066@example.com,+9198753395881,,,,,,,
CUS-0140,Customer 0140,customer0140@example.com,+9198291297872,,,,,,,
CUS-0099,Customer 0099,customer0099@example.com,+9198924466143,,,,,,,
CUS-0076,Customer 0076,customer0076@example.com,+9198352498535,,,,,,,
CUS-0199,Customer 0199,customer0199@example.com,+9198496353078,,,,,,,
CUS-0159,Customer 0159,customer0159@example.com,+9198488995663,,,,,,,
CUS-0025,Customer 0025,customer0025@example.com,+9198464912176,,,,,,,
CUS-0149,Customer 0149,customer0149@example.com,+9198638434202,,,,,,,
CUS-0045,Customer 0045,customer0045@example.com,+9198983945228,,,,,,,
CUS-0070,Customer 0070,customer0070@example.com,+9198101708903,,,,,,,
CUS-0207,Customer 0207,customer0207@example.com,+9198755590808,,,,,,,
CUS-0194,Customer 0194,customer0194@example.com,+9198743354090,,,,,,,
CUS-0068,Customer 0068,customer0068@example.com,+9198907115040,,,,,,,
CUS-0150,Customer 0150,customer0150@example.com,+9198527543329,,,,,,,
CUS-0057,Customer 0057,customer0057@example.com,+9198182967632,,,,,,,
CUS-0167,Customer 0167,customer0167@example.com,+9198793183317,,,,,,,
CUS-0095,Customer 0095,customer0095@example.com,+9198347039512,,,,,,,
CUS-0107,Customer 0107,customer0107@example.com,+9198248262160,,,,,,,
CUS-0072,Customer 0072,customer0072@example.com,+9198636816895,,,,,,,
CUS-0016,Customer 0016,customer0016@example.com,+9198301831842,,,,,,,
CUS-0164,Customer 0164,customer0164@example.com,+9198147510841,,,,,,,
CUS-0018,Customer 0018,customer0018@example.com,+9198326809000,,,,,,,
CUS-0038,Customer 0038,customer0038@example.com,+9198424203372,,,,,,,
CUS-0222,Customer 0222,customer0222@example.com,+9198567507869,,,,,,,
CUS-0005,Customer 0005,customer0005@example.com,+9198199697311,,,,,,,
CUS-0017,Customer 0017,customer0017@example.com,+9198464628392,,,,,,,
CUS-0247,Customer 0247,customer0247@example.com,+9198512388297,,,,,,,
CUS-0183,Customer 0183,customer0183@example.com,+9198802275407,,,,,,,
CUS-0163,Customer 0163,customer0163@example.com,+9198293140002,,,,,,,
CUS-0219,Customer 0219,customer0219@example.com,+9198557104051,,,,,,,
CUS-0111,Customer 0111,customer0111@example.com,+9198261863973,,,,,,,
CUS-0245,Customer 0245,customer0245@example.com,+9198405977902,,,,,,,
CUS-0151,Customer 0151,customer0151@example.com,+9198434032573,,,,,,,
CUS-0055,Customer 0055,customer0055@example.com,+9198515339993,,,,,,,
CUS-0250,Customer 0250,customer0250@example.com,+9198825068787,,,,,,,
CUS-0156,Customer 0156,customer0156@example.com,+9198981837331,,,,,,,
CUS-0180,Customer 0180,customer0180@example.com,+9198616096218,,,,,,,
CUS-0037,Customer 0037,customer0037@example.com,+9198137394844,,,,,,,
CUS-0008,Customer 0008,customer0008@example.com,+9198380267549,,,,,,,
CUS-0014,Customer 0014,customer0014@example.com,+9198552836541,,,,,,,
CUS-0174,Customer 0174,customer0174@example.com,+9198292755937,,,,,,,
CUS-0154,Customer 0154,customer0154@example.com,+9198275602826,,,,,,,
CUS-0190,Customer 0190,customer0190@example.com,+9198527581324,,,,,,,
CUS-0110,Customer 0110,customer0110@example.com,+9198832656759,,,,,,,
CUS-0006,Customer 0006,customer0006@example.com,+9198655498795,,,,,,,
CUS-0112,Customer 0112,customer0112@example.com,+9198995750327,,,,,,,
CUS-0102,Customer 0102,customer0102@example.com,+9198214278937,,,,,,,
CUS-0020,Customer 0020,customer0020@example.com,+9198599206945,,,,,,,
CUS-0090,Customer 0090,customer0090@example.com,+9198965681730,,,,,,,
CUS-0051,Customer 0051,customer0051@example.com,+9198188734530,,,,,,,
CUS-0175,Customer 0175,customer0175@example.com,+9198471822692,,,,,,,
CUS-0162,Customer 0162,customer0162@example.com,+9198836657349,,,,,,,
CUS-0119,Customer 0119,customer0119@example.com,+9198886699135,,,,,,,
CUS-0100,Customer 0100,customer0100@example.com,+9198208882895,,,,,,,
CUS-0086,Customer 0086,customer0086@example.com,+9198804233550,,,,,,,
CUS-0241,Customer 0241,customer0241@example.com,+9198534300167,,,,,,,
CUS-0172,Customer 0172,customer0172@example.com,+9198962805514,,,,,,,
CUS-0080,Customer 0080,customer0080@example.com,+9198966419051,,,,,,,
CUS-0036,Customer 0036,customer0036@example.com,+9198113125946,,,,,,,
CUS-0097,Customer 0097,customer0097@example.com,+9198272747645,,,,,,,
CUS-0192,Customer 0192,customer0192@example.com,+9198442551325,,,,,,,
CUS-0201,Customer 0201,customer0201@example.com,+9198238232995,,,,,,,
CUS-0165,Customer 0165,customer0165@example.com,+9198717060322,,,,,,,
CUS-0022,Customer 0022,customer0022@example.com,+9198644355354,,,,,,,
CUS-0215,Customer 0215,customer0215@example.com,+9198512306429,,,,,,,
CUS-0115,Customer 0115,customer0115@example.com,+9198836907565,,,,,,,
CUS-0013,Customer 0013,customer0013@example.com,+9198588221894,,,,,,,
CUS-0232,Customer 0232,customer0232@example.com,+9198112443230,,,,,,,
CUS-0184,Customer 0184,customer0184@example.com,+9198621988185,,,,,,,
CUS-0135,Customer 0135,customer0135@example.com,+9198802030905,,,,,,,
CUS-0130,Customer 0130,customer0130@example.com,+9198819616320,,,,,,,
CUS-0096,Customer 0096,customer0096@example.com,+9198531325735,,,,,,,
CUS-0169,Customer 0169,customer0169@example.com,+9198553609821,,,,,,,
CUS-0012,Customer 0012,customer0012@example.com,+9198928241129,,,,,,,
CUS-0052,Customer 0052,customer0052@example.com,+9198158531054,,,,,,,
CUS-0209,Customer 0209,customer0209@example.com,+9198425294935,,,,,,,
CUS-0092,Customer 0092,customer0092@example.com,+9198556320088,,,,,,,
CUS-0103,Customer 0103,customer0103@example.com,+9198377722302,,,,,,,
CUS-0128,Customer 0128,customer0128@example.com,+9198896786236,,,,,,,
CUS-0009,Customer 0009,customer0009@example.com,+9198780878139,,,,,,,
CUS-0146,Customer 0146,customer0146@example.com,+9198224509405,,,,,,,
CUS-0189,Customer 0189,customer0189@example.com,+9198748149267,,,,,,,
CUS-0067,Customer 0067,customer0067@example.com,+9198966643962,,,,,,,
CUS-0077,Customer 0077,customer0077@example.com,+9198961590184,,,,,,,
CUS-0123,Customer 0123,customer0123@example.com,+9198583473665,,,,,,,
CUS-0249,Customer 0249,customer0249@example.com,+9198639084522,,,,,,,
CUS-0225,Customer 0225,customer0225@example.com,+9198500318129,,,,,,,
CUS-0034,Customer 0034,customer0034@example.com,+9198938596152,,,,,,,
CUS-0042,Customer 0042,customer0042@example.com,+9198608467523,,,,,,,
CUS-0137,Customer 0137,customer0137@example.com,+9198864529386,,,,,,,
CUS-0155,Customer 0155,customer0155@example.com,+9198459771701,,,,,,,
CUS-0147,Customer 0147,customer0147@example.com,+9198674477822,,,,,,,
CUS-0063,Customer 0063,customer0063@example.com,+9198491767365,,,,,,,
CUS-0132,Customer 0132,customer0132@example.com,+9198219907046,,,,,,,
CUS-0064,Customer 0064,customer0064@example.com,+9198943418541,,,,,,,
CUS-0120,Customer 0120,customer0120@example.com,+9198292027518,,,,,,,
CUS-0056,Customer 0056,customer0056@example.com,+9198555336460,,,,,,,
CUS-0216,Customer 0216,customer0216@example.com,+9198670921009,,,,,,,
CUS-0145,Customer 0145,customer0145@example.com,+9198915625869,,,,,,,
CUS-0185,Customer 0185,customer0185@example.com,+9198511749730,,,,,,,
CUS-0049,Customer 0049,customer0049@example.com,+9198824473912,,,,,,,
CUS-0054,Customer 0054,customer0054@example.com,+9198185909132,,,,,,,
CUS-0242,Customer 0242,customer0242@example.com,+9198261477051,,,,,,,
CUS-0181,Customer 0181,customer0181@example.com,+9198107469730,,,,,,,
CUS-0089,Customer 0089,customer0089@example.com,+9198461975213,,,,,,,
CUS-0212,Customer 0212,customer0212@example.com,+9198859741828,,,,,,,
CUS-0085,Customer 0085,customer0085@example.com,+9198733671981,,,,,,,
CUS-0074,Customer 0074,customer0074@example.com,+9198376849890,,,,,,,
CUS-0240,Customer 0240,customer0240@example.com,+9198312185392,,,,,,,
CUS-0010,Customer 0010,customer0010@example.com,+9198652865676,,,,,,,
CUS-0218,Customer 0218,customer0218@example.com,+9198972775048,,,,,,,
CUS-0188,Customer 0188,customer0188@example.com,+9198759835947,,,,,,,
CUS-0230,Customer 0230,customer0230@example.com,+9198881285439,,,,,,,
CUS-0048,Customer 0048,customer0048@example.com,+9198588541107,,,,,,,
CUS-0003,Customer 0003,customer0003@example.com,+9198566957486,,,,,,,
CUS-0234,Customer 0234,customer0234@example.com,+9198152123292,,,,,,,
CUS-0141,Customer 0141,customer0141@example.com,+9198599035658,,,,,,,
CUS-0186,Customer 0186,customer0186@example.com,+9198402488060,,,,,,,
CUS-0187,Customer 0187,customer0187@example.com,+9198142782651,,,,,,,
CUS-0031,Customer 0031,customer0031@example.com,+9198230514870,,,,,,,
CUS-0228,Customer 0228,customer0228@example.com,+9198625726985,,,,,,,
CUS-0173,Customer 0173,customer0173@example.com,+9198594190442,,,,,,,
CUS-0210,Customer 0210,customer0210@example.com,+9198494175052,,,,,,,
CUS-0143,Customer 0143,customer0143@example.com,+9198153766019,,,,,,,
CUS-0053,Customer 0053,customer0053@example.com,+9198743523776,,,,,,,
CUS-0144,Customer 0144,customer0144@example.com,+9198837003118,,,,,,,
CUS-0004,Customer 0004,customer0004@example.com,+9198496529010,,,,,,,
CUS-0158,Customer 0158,customer0158@example.com,+9198370933847,,,,,,,
CUS-0028,Customer 0028,customer0028@example.com,+9198557094619,,,,,,,
CUS-0065,Customer 0065,customer0065@example.com,+9198462346788,,,,,,,
CUS-0104,Customer 0104,customer0104@example.com,+9198824771740,,,,,,,
CUS-0044,Customer 0044,customer0044@example.com,+9198417982686,,,,,,,
CUS-0178,Customer 0178,customer0178@example.com,+9198923381466,,,,,,,
CUS-0237,Customer 0237,customer0237@example.com,+9198979576390,,,,,,,
CUS-0116,Customer 0116,customer0116@example.com,+9198125265519,,,,,,,
CUS-0027,Customer 0027,customer0027@example.com,+9198682771762,,,,,,,
CUS-0078,Customer 0078,customer0078@example.com,+9198386941953,,,,,,,
CUS-0118,Customer 0118,customer0118@example.com,+9198291907920,,,,,,,
CUS-0098,Customer 0098,customer0098@example.com,+9198414863712,,,,,,,
CUS-0221,Customer 0221,customer0221@example.com,+9198483202737,,,,,,,
CUS-0138,Customer 0138,customer0138@example.com,+9198547815017,,,,,,,
CUS-0205,Customer 0205,customer0205@example.com,+9198118810873,,,,,,,
CUS-0193,Customer 0193,customer0193@example.com,+9198579715798,,,,,,,
CUS-0131,Customer 0131,customer0131@example.com,+9198448571549,,,,,,,
CUS-0202,Customer 0202,customer0202@example.com,+9198419635063,,,,,,,
CUS-0161,Customer 0161,customer0161@example.com,+9198782881227,,,,,,,
CUS-0073,Customer 0073,customer0073@example.com,+9198138241399,,,,,,,
CUS-0238,Customer 0238,customer0238@example.com,+9198739712731,,,,,,,
CUS-0041,Customer 0041,customer0041@example.com,+9198219919013,,,,,,,
CUS-0023,Customer 0023,customer0023@example.com,+9198483588343,,,,,,,
CUS-0171,Customer 0171,customer0171@example.com,+9198885876277,,,,,,,
CUS-0015,Customer 0015,customer0015@example.com,+9198139312208,,,,,,,
CUS-0108,Customer 0108,customer0108@example.com,+9198670445247,,,,,,,
CUS-0058,Customer 0058,customer0058@example.com,+9198893151937,,,,,,,
CUS-0217,Customer 0217,customer0217@example.com,+9198525432156,,,,,,,
CUS-0213,Customer 0213,customer0213@example.com,+9198366960905,,,,,,,
CUS-0204,Customer 0204,customer0204@example.com,+9198288155696,,,,,,,
CUS-0082,Customer 0082,customer0082@example.com,+9198190244626,,,,,,,
CUS-0148,Customer 0148,customer0148@example.com,+9198674435989,,,,,,,
CUS-0029,Customer 0029,customer0029@example.com,+9198201546534,,,,,,,
CUS-0035,Customer 0035,customer0035@example.com,+9198235350127,,,,,,,
CUS-0043,Customer 0043,customer0043@example.com,+9198880382037,,,,,,,
CUS-0122,Customer 0122,customer0122@example.com,+9198255310652,,,,,,,
CUS-0084,Customer 0084,customer0084@example.com,+9198779592700,,,,,,,
CUS-0226,Customer 0226,customer0226@example.com,+9198629838219,,,,,,,
CUS-0083,Customer 0083,customer0083@example.com,+9198562890681,,,,,,,
CUS-0229,Customer 0229,customer0229@example.com,+9198394952837,,,,,,,
CUS-0200,Customer 0200,customer0200@example.com,+9198470855688,,,,,,,
CUS-0088,Customer 0088,customer0088@example.com,+9198591806906,,,,,,,
CUS-0231,Customer 0231,customer0231@example.com,+9198839799487,,,,,,,
CUS-0208,Customer 0208,customer0208@example.com,+9198762757621,,,,,,,
CUS-0134,Customer 0134,customer0134@example.com,+9198362101135,,,,,,,
CUS-0075,Customer 0075,customer0075@example.com,+9198986450549,,,,,,,
CUS-0061,Customer 0061,customer0061@example.com,+9198996486264,,,,,,,
CUS-0117,Customer 0117,customer0117@example.com,+9198886717511,,,,,,,
CUS-0046,Customer 0046,customer0046@example.com,+9198980989747,,,,,,,
CUS-0182,Customer 0182,customer0182@example.com,+9198662166922,,,,,,,
CUS-0244,Customer 0244,customer0244@example.com,+9198711032415,,,,,,,
CUS-0160,Customer 0160,customer0160@example.com,+9198592224271,,,,,,,
CUS-0033,Customer 0033,customer0033@example.com,+9198143637924,,,,,,,
CUS-0050,Customer 0050,customer0050@example.com,+9198182180063,,,,,,,
CUS-0002,Customer 0002,customer0002@example.com,+9198450671708,,,,,,,
CUS-0227,Customer 0227,customer0227@example.com,+9198500285937,,,,,,,
CUS-0101,Customer 0101,customer0101@example.com,+9198141110761,,,,,,,
CUS-0011,Customer 0011,customer0011@example.com,+9198257572094,,,,,,,
CUS-0030,Customer 0030,customer0030@example.com,+9198754288322,,,,,,,
CUS-0047,Customer 0047,customer0047@example.com,+9198877185285,,,,,,,
CUS-0197,Customer 0197,customer0197@example.com,+9198784848085,,,,,,,
CUS-0206,Customer 0206,customer0206@example.com,+9198972389969,,,,,,,
CUS-0239,Customer 0239,customer0239@example.com,+9198208579695,,,,,,,
CUS-0133,Customer 0133,customer0133@example.com,+9198510075954,,,,,,,
CUS-0246,Customer 0246,customer0246@example.com,+9198650434718,,,,,,,
CUS-0166,Customer 0166,customer0166@example.com,+9198878891323,,,,,,,
CUS-0233,Customer 0233,customer0233@example.com,+9198184573132,,,,,,,
CUS-0087,Customer 0087,customer0087@example.com,+9198462680716,,,,,,,
CUS-0152,Customer 0152,customer0152@example.com,+9198783695518,,,,,,,
CUS-0220,Customer 0220,customer0220@example.com,+9198904519313,,,,,,,
CUS-0127,Customer 0127,customer0127@example.com,+9198424254974,,,,,,,
CUS-0091,Customer 0091,customer0091@example.com,+9198553688034,,,,,,,
CUS-0170,Customer 0170,customer0170@example.com,+9198530290856,,,,,,,
CUS-0007,Customer 0007,customer0007@example.com,+9198124034078,,,,,,,
CUS-9001,Hero Merchant Customer,hero@example.com,+91-9000000001,Mumbai,MAHARASHTRA,27HERO9001GSTIN,SMB,2025-01-01,SHOPIFY,TRUE
